,diff_rmse,diff_tau,aug_ind
395,0.025247039390309006,0.002020202020201922,"(87754, 84558)"
226,0.003812748637763763,0.002020202020201922,"(9446, 17157)"
117,0.00550555572428027,0.002020202020201922,"(30072, 86090)"
216,0.0003033990959916688,0.002020202020201922,"(62870, 18458)"
251,0.05289045396615072,0.002020202020201922,"(31393, 13715)"
148,0.00017247475563966774,0.002020202020201922,"(62511, 70235)"
396,0.0011698008190915432,0.002020202020201922,"(42221, 4205)"
20,-0.0008154062517866656,0.0016161616161616266,"(84070, 73859)"
99,0.006482846436091733,0.0016161616161616266,"(18239, 93576)"
397,-0.0003445976690024666,0.0016161616161616266,"(42968, 75290)"
256,0.008682186281223025,0.0016161616161616266,"(13485, 62265)"
275,0.002270657187509323,0.0016161616161616266,"(61699, 88879)"
380,-0.0010154896279424286,0.0016161616161616266,"(50905, 66608)"
123,0.008372459816629624,0.0016161616161616266,"(73614, 66047)"
84,-0.0002655309082519042,0.0016161616161616266,"(4795, 15254)"
372,0.0028511768016707406,0.0016161616161616266,"(22248, 74143)"
238,0.01304646399643039,0.0016161616161616266,"(18918, 88238)"
260,-2.4232315975258878e-05,0.0016161616161616266,"(4294, 24639)"
395,0.006654824043562518,0.0016161616161616266,"(90424, 36505)"
79,-0.00014430667134815445,0.0016161616161616266,"(25209, 11977)"
124,0.0031598140815843057,0.0016161616161616266,"(17580, 30103)"
250,0.009135426778517586,0.0016161616161616266,"(34198, 5764)"
310,0.012386199999544878,0.0016161616161616266,"(57893, 15857)"
25,0.0006327479523012269,0.0016161616161616266,"(21414, 3705)"
251,0.0007204565736938784,0.0016161616161616266,"(2969, 24694)"
317,0.0004586198073322223,0.0016161616161616266,"(70174, 33014)"
140,0.011720842440126028,0.0016161616161616266,"(39504, 37900)"
306,0.0003720630911368261,0.0016161616161616266,"(28828, 87130)"
382,0.0008351488253613149,0.0016161616161616266,"(73450, 3875)"
308,0.0004984407595855778,0.0016161616161616266,"(26894, 10058)"
169,4.3246417107178914e-05,0.0016161616161616266,"(66524, 5411)"
176,0.00020126947380194604,0.0016161616161616266,"(60262, 17479)"
391,0.009319181650318753,0.0016161616161616266,"(77144, 39268)"
394,0.003804667680535112,0.0016161616161616266,"(87333, 58386)"
15,0.002886895277388918,0.0016161616161616266,"(80424, 72371)"
221,0.0006508652494453815,0.0016161616161616266,"(72681, 67696)"
231,-0.000200168414252494,0.0016161616161616266,"(34461, 67640)"
36,0.0005647165218566341,0.0016161616161616266,"(80928, 20977)"
247,0.0003856246676810504,0.0016161616161616266,"(86296, 65645)"
191,0.0007185390062897645,0.0016161616161616266,"(91934, 4885)"
299,0.0010111639061851085,0.0016161616161616266,"(93405, 409)"
280,0.00010867519411497661,0.0016161616161616266,"(9910, 75857)"
149,0.0019356486950927454,0.0016161616161616266,"(9972, 38235)"
143,0.0003049151130434524,0.0016161616161616266,"(78146, 56013)"
362,0.0015034350729352663,0.0016161616161616266,"(82916, 83431)"
358,0.00402859472056083,0.0016161616161616266,"(62025, 15713)"
129,0.0013526064558787854,0.0016161616161616266,"(62330, 22863)"
309,0.0007205312201028213,0.0016161616161616266,"(94509, 96497)"
36,-9.253420034155413e-05,0.0016161616161616266,"(77958, 57109)"
46,0.0007005565069984343,0.0016161616161616266,"(71423, 46550)"
247,0.0010181752444958225,0.0016161616161616266,"(68549, 32600)"
65,0.0016684679608458264,0.0016161616161616266,"(82375, 30920)"
292,0.0005993702726023176,0.0016161616161616266,"(67281, 41129)"
99,0.00027440786494967173,0.0016161616161616266,"(73495, 91245)"
304,0.00408507140398523,0.0016161616161616266,"(88637, 17539)"
79,-0.00023782928435073236,0.0016161616161616266,"(78695, 83388)"
312,-0.0005499719836314365,0.0016161616161616266,"(63797, 36014)"
348,0.009653458257156217,0.0016161616161616266,"(13730, 46354)"
90,-0.0006431341932879864,0.0016161616161616266,"(78622, 49999)"
324,0.015387060961616489,0.0016161616161616266,"(37655, 74693)"
94,0.011838289661300017,0.0016161616161616266,"(34154, 44287)"
339,0.014910879905278979,0.0016161616161616266,"(80485, 31619)"
342,0.018156300534587444,0.0016161616161616266,"(41091, 14453)"
98,0.011361409545313977,0.0016161616161616266,"(36505, 84414)"
344,0.003182251371571021,0.0016161616161616266,"(86706, 62117)"
281,0.0006027338937170668,0.0016161616161616266,"(54296, 13589)"
280,0.004161708129644753,0.0016161616161616266,"(53630, 22792)"
381,-0.00010211884900199197,0.0016161616161616266,"(22766, 63345)"
122,0.03489948012728303,0.0016161616161616266,"(52921, 86205)"
107,0.006277420075742307,0.0016161616161616266,"(89558, 82862)"
143,0.026272257205270377,0.0016161616161616266,"(68429, 10148)"
162,-0.00013441106219883037,0.0016161616161616266,"(42223, 47792)"
194,-0.0010489534660267918,0.0016161616161616266,"(17838, 74246)"
61,0.020703052488350804,0.0016161616161616266,"(38433, 81418)"
27,0.04226630070721371,0.0016161616161616266,"(84458, 65577)"
133,0.01641133122807087,0.0016161616161616266,"(32796, 42506)"
131,0.014059031445008002,0.0016161616161616266,"(24834, 34984)"
173,0.02577167705513142,0.0016161616161616266,"(65821, 14300)"
287,8.251739573436612e-05,0.0016161616161616266,"(11763, 15846)"
76,0.02390474419964958,0.0016161616161616266,"(30793, 98363)"
160,0.0005914069212584749,0.0016161616161616266,"(20351, 77815)"
123,0.018308151209731643,0.0016161616161616266,"(50834, 65904)"
148,0.005253002757547642,0.0016161616161616266,"(62663, 8661)"
13,0.015784076685095322,0.0016161616161616266,"(34705, 78567)"
344,0.0015717208472908195,0.0016161616161616266,"(31426, 78253)"
86,-0.00042800449147045727,0.0016161616161616266,"(58612, 31632)"
11,0.02654743644570748,0.0016161616161616266,"(57476, 83511)"
176,-0.0010882942343376223,0.0016161616161616266,"(26989, 39883)"
9,0.04279835232410603,0.0016161616161616266,"(95148, 61986)"
282,0.0007012792395621192,0.0016161616161616266,"(43063, 42724)"
8,0.011034793217117311,0.0016161616161616266,"(3407, 94235)"
104,0.0009907178415351492,0.0016161616161616266,"(25225, 94569)"
108,0.017038122084268525,0.0016161616161616266,"(18164, 61793)"
367,0.00071892621980571,0.0016161616161615155,"(38872, 63089)"
134,0.004045327975390589,0.0016161616161615155,"(37975, 6581)"
27,-0.000264487978272665,0.0016161616161615155,"(91230, 55906)"
225,0.0010018628895006043,0.0016161616161615155,"(38944, 73095)"
290,0.0007251548174878608,0.0016161616161615155,"(64933, 70078)"
236,0.0008150454951492692,0.0016161616161615155,"(78832, 26651)"
3,0.0032890404611257695,0.0016161616161615155,"(58082, 94489)"
140,-0.00013468634669722146,0.0016161616161615155,"(24618, 63428)"
286,-5.0528165863900076e-05,0.0016161616161615155,"(5151, 37794)"
222,0.0003312983585190832,0.0016161616161615155,"(15272, 52608)"
271,0.00038482466121469994,0.0016161616161615155,"(9462, 5696)"
167,-0.00036434363414195037,0.0016161616161615155,"(22040, 3558)"
215,-0.00021664648218705507,0.0016161616161615155,"(11329, 63077)"
276,2.1257341388997153e-05,0.0016161616161615155,"(95981, 81896)"
212,0.001286404232577254,0.0016161616161615155,"(54977, 96936)"
240,0.0016482720105332749,0.0016161616161615155,"(15144, 41461)"
365,-4.9711141177216644e-05,0.0016161616161615155,"(91099, 91475)"
54,0.00034424277661443403,0.0016161616161615155,"(32049, 74188)"
44,0.0012681561804076258,0.0016161616161615155,"(5793, 24876)"
99,5.178619113888061e-05,0.0016161616161615155,"(51982, 68276)"
343,0.0004933597334500217,0.0016161616161615155,"(27652, 55922)"
327,-0.0002487531819256039,0.0016161616161615155,"(89432, 90263)"
65,0.0016727804588243245,0.0016161616161615155,"(83136, 81565)"
70,0.0028143610913176353,0.0016161616161615155,"(96008, 75260)"
87,0.00022530484680360896,0.0016161616161615155,"(92923, 50548)"
83,0.0005614121194886801,0.0016161616161615155,"(53987, 68530)"
55,-0.0001118036602391903,0.0016161616161615155,"(25644, 97250)"
183,-0.0002869176423680453,0.0016161616161615155,"(27575, 34729)"
274,-0.00039023894039649787,0.00121212121212122,"(77248, 64732)"
347,0.02803047160528191,0.00121212121212122,"(41293, 53393)"
7,0.0008496188807644856,0.00121212121212122,"(5205, 18634)"
84,0.02957821148527981,0.00121212121212122,"(18880, 65735)"
27,6.943466847209034e-05,0.00121212121212122,"(85386, 62700)"
218,0.00027784838875141715,0.00121212121212122,"(48207, 18631)"
19,0.0002731983123929749,0.00121212121212122,"(48788, 25882)"
336,0.007053068634287091,0.00121212121212122,"(77734, 49041)"
334,0.009785156199691752,0.00121212121212122,"(17990, 18289)"
252,0.012605950084304818,0.00121212121212122,"(39007, 24539)"
150,-0.00034711981203475184,0.00121212121212122,"(67094, 75502)"
73,0.001051779116618079,0.00121212121212122,"(50772, 41022)"
97,0.005590544423069221,0.00121212121212122,"(12897, 89045)"
13,0.002769968427941749,0.00121212121212122,"(20138, 29368)"
69,0.0044271711293562555,0.00121212121212122,"(52699, 75249)"
228,0.0013091061833061524,0.00121212121212122,"(29659, 28672)"
370,-0.00015218483942852634,0.00121212121212122,"(95844, 76418)"
307,0.0003206603427852728,0.00121212121212122,"(29977, 22301)"
175,-0.0013977338843800258,0.00121212121212122,"(18481, 83051)"
354,0.024198398495082596,0.00121212121212122,"(93963, 79449)"
390,0.00039913961541279686,0.00121212121212122,"(87518, 65840)"
341,2.4410354629217368e-05,0.00121212121212122,"(11845, 48331)"
349,0.0033760193020894724,0.00121212121212122,"(25423, 44562)"
350,-0.00026464706742176936,0.00121212121212122,"(68523, 65841)"
159,0.0003845676657414643,0.00121212121212122,"(37613, 73306)"
9,0.0019007122015253508,0.00121212121212122,"(81430, 55320)"
278,0.0012381429938904953,0.00121212121212122,"(57889, 28681)"
11,-0.00022180843925675986,0.00121212121212122,"(42168, 37559)"
309,0.0019324976766174895,0.00121212121212122,"(87416, 39503)"
399,-0.000114336902438672,0.00121212121212122,"(92013, 17940)"
321,0.0007030360208628295,0.00121212121212122,"(70766, 34561)"
64,0.021792648795256025,0.00121212121212122,"(87520, 84635)"
360,0.004506495648960912,0.00121212121212122,"(58686, 33532)"
153,0.000539052557057329,0.00121212121212122,"(91048, 73205)"
67,0.04441352024886036,0.00121212121212122,"(10986, 77690)"
303,4.463543686875071e-05,0.00121212121212122,"(78758, 58568)"
332,0.00021434073272416643,0.00121212121212122,"(6138, 91979)"
24,0.0007185772132333734,0.00121212121212122,"(4358, 89528)"
48,-0.0002231483727466177,0.00121212121212122,"(5371, 7042)"
110,0.0006221178098440305,0.00121212121212122,"(60552, 90370)"
376,0.00086013507920632,0.00121212121212122,"(94412, 95111)"
375,0.00026575045043347734,0.00121212121212122,"(98956, 57978)"
132,0.0005245327399096,0.00121212121212122,"(70521, 67594)"
43,0.001700684339057179,0.00121212121212122,"(36366, 95720)"
133,0.0032602664358200306,0.00121212121212122,"(23490, 51302)"
228,-0.0004943057517873828,0.00121212121212122,"(29861, 22130)"
42,0.004692632130755964,0.00121212121212122,"(44928, 62951)"
154,0.00013840279370247455,0.00121212121212122,"(76485, 28456)"
41,-0.00040403240975916965,0.00121212121212122,"(51996, 38878)"
39,0.008532048451339813,0.00121212121212122,"(52506, 46563)"
127,0.00033818993038489675,0.00121212121212122,"(34393, 65299)"
35,-0.0007599336079073815,0.00121212121212122,"(32005, 98782)"
206,0.0007895203649632698,0.00121212121212122,"(57841, 30690)"
43,-0.0003899913161282964,0.00121212121212122,"(5197, 52819)"
369,0.00018068616567776252,0.00121212121212122,"(20687, 95343)"
50,0.0003889162701152249,0.00121212121212122,"(66818, 68470)"
54,0.00016751958097011022,0.00121212121212122,"(25792, 2015)"
32,0.009672019390789321,0.00121212121212122,"(8620, 89514)"
177,-0.00030470108312241617,0.00121212121212122,"(12612, 41604)"
387,0.0005570342268251816,0.00121212121212122,"(39263, 32369)"
18,0.015166018295252853,0.00121212121212122,"(42752, 83723)"
15,-6.0652127632065955e-05,0.00121212121212122,"(62299, 30452)"
357,-0.0005119596566627305,0.00121212121212122,"(64531, 91541)"
390,0.02316807494374898,0.00121212121212122,"(93128, 56878)"
58,0.003542402065786321,0.00121212121212122,"(45670, 90504)"
244,0.004823710922037844,0.00121212121212122,"(14993, 79252)"
397,0.004729123896978715,0.00121212121212122,"(62147, 10276)"
334,0.004775826125583887,0.00121212121212122,"(78433, 80555)"
144,-0.00023495317194222043,0.00121212121212122,"(16012, 14512)"
193,-0.0006961655225241337,0.00121212121212122,"(48450, 50528)"
141,0.0002641964859376178,0.00121212121212122,"(75308, 37101)"
111,0.00020048613556367112,0.00121212121212122,"(61781, 96792)"
106,0.000135237531355914,0.00121212121212122,"(75356, 33311)"
52,-0.0013115107734983922,0.00121212121212122,"(89733, 55387)"
52,-0.0011977227853272043,0.00121212121212122,"(19190, 16560)"
51,0.024024367320530787,0.00121212121212122,"(50750, 20482)"
160,0.0001056728284906383,0.00121212121212122,"(47186, 66192)"
328,0.00022579651226325992,0.00121212121212122,"(38094, 3820)"
328,0.02656251680715857,0.00121212121212122,"(8145, 12903)"
292,-0.0016326926257015928,0.00121212121212122,"(24246, 28503)"
390,0.00277760020460191,0.00121212121212122,"(29707, 78221)"
112,0.004417613324446901,0.00121212121212122,"(96445, 98299)"
145,0.03481168734293197,0.00121212121212122,"(67358, 93245)"
138,-0.0007132269929750745,0.00121212121212122,"(44916, 75082)"
286,0.029720982417782732,0.00121212121212122,"(7630, 11267)"
230,0.0072196395714112516,0.00121212121212122,"(89674, 28570)"
197,-6.369763098929004e-05,0.00121212121212122,"(7065, 23164)"
253,8.200379554429427e-06,0.00121212121212122,"(9118, 83581)"
108,-0.0013998621196756322,0.00121212121212122,"(8727, 76184)"
267,7.531581776115681e-05,0.00121212121212122,"(22478, 66845)"
299,-0.0002563456551983867,0.00121212121212122,"(85507, 14698)"
192,0.0004616586404355416,0.00121212121212122,"(68699, 7374)"
333,0.007633466828568886,0.00121212121212122,"(50139, 16023)"
126,0.00349581884672423,0.00121212121212122,"(42737, 36499)"
235,0.0020043295217663237,0.00121212121212122,"(77293, 65299)"
262,0.002921934954501021,0.00121212121212122,"(6094, 47391)"
176,0.032624980334683334,0.00121212121212122,"(47103, 85116)"
146,0.002832397437370321,0.00121212121212122,"(49216, 50001)"
175,0.004549706025870043,0.00121212121212122,"(50371, 25982)"
273,0.010737321639985253,0.00121212121212122,"(41852, 52881)"
253,-9.675045625037737e-05,0.00121212121212122,"(45329, 91195)"
303,8.926596243194473e-05,0.00121212121212122,"(35634, 83432)"
240,0.03839732163302617,0.00121212121212122,"(78427, 52281)"
242,0.004664721402383054,0.00121212121212122,"(45530, 99381)"
246,0.0015026893372014072,0.00121212121212122,"(73182, 58262)"
249,0.005358653606799352,0.00121212121212122,"(10949, 61889)"
149,0.015888967622439715,0.00121212121212122,"(88387, 99227)"
172,0.0012546624579496957,0.00121212121212122,"(42766, 85664)"
168,0.00023866609828493424,0.00121212121212122,"(67267, 8982)"
115,-0.0008199479534786724,0.00121212121212122,"(77291, 63076)"
315,0.001489595450513831,0.00121212121212122,"(76266, 1836)"
377,0.002014449890682307,0.00121212121212122,"(76782, 59589)"
293,0.013665648685253967,0.00121212121212122,"(41038, 79488)"
315,-0.0001394701973932988,0.00121212121212122,"(89344, 12808)"
113,0.001018629151535444,0.00121212121212122,"(72369, 48070)"
344,0.0006714726769349311,0.00121212121212122,"(53875, 29777)"
320,0.0039408081532888994,0.00121212121212122,"(1701, 29537)"
326,-0.0006039030526110711,0.00121212121212122,"(71734, 44346)"
341,0.0029940331039602086,0.00121212121212122,"(34190, 55515)"
361,-0.0016293765643866642,0.00121212121212122,"(88378, 20099)"
322,0.017776954826898755,0.00121212121212122,"(39282, 53420)"
363,-0.0005675204769326758,0.00121212121212122,"(44109, 6222)"
96,0.0007688481862345442,0.00121212121212122,"(92487, 62787)"
98,-0.0007083206996251479,0.00121212121212122,"(29893, 10547)"
385,0.011536115288310889,0.00121212121212122,"(94673, 57291)"
252,0.0014539068234548924,0.00121212121212122,"(52772, 89391)"
334,0.0022967487370676998,0.00121212121212122,"(58986, 95858)"
262,0.00927375647898418,0.00121212121212122,"(53247, 17843)"
307,0.001498311017320536,0.00121212121212122,"(21611, 14363)"
308,0.0013607558886943316,0.00121212121212122,"(75148, 60089)"
395,-0.0002734200078085558,0.00121212121212122,"(53886, 26980)"
296,0.0019100835209225064,0.00121212121212122,"(98408, 84911)"
215,0.001454733078188608,0.00121212121212122,"(14994, 61493)"
116,-0.0006476136379483521,0.00121212121212122,"(19841, 56010)"
359,-0.0003273486035011708,0.001212121212121109,"(34659, 30785)"
357,-7.430325354268463e-05,0.001212121212121109,"(71636, 80426)"
8,0.0034538508940340495,0.001212121212121109,"(81732, 7725)"
275,0.0036090412980758213,0.001212121212121109,"(45265, 83448)"
142,0.005313979843715511,0.001212121212121109,"(71545, 15461)"
56,4.2966162093815985e-05,0.001212121212121109,"(20246, 87616)"
368,-0.0006080500342479367,0.001212121212121109,"(855, 21198)"
188,0.007080450526971621,0.001212121212121109,"(85638, 9623)"
227,0.006039379953797525,0.001212121212121109,"(95646, 64301)"
274,0.002313170193962155,0.001212121212121109,"(71632, 13527)"
206,-0.00012664277471954866,0.001212121212121109,"(8473, 89178)"
355,0.0025269678041413834,0.001212121212121109,"(59279, 76134)"
169,-0.000820387285899199,0.001212121212121109,"(50667, 82562)"
181,0.005209096511169936,0.001212121212121109,"(95344, 83136)"
384,0.0033060725705895966,0.001212121212121109,"(7560, 21208)"
339,0.006222243354398832,0.001212121212121109,"(88399, 17729)"
110,-0.000446291416943162,0.001212121212121109,"(33179, 82610)"
240,0.0008515838952369847,0.001212121212121109,"(90234, 89360)"
48,0.0016003410706084964,0.001212121212121109,"(39713, 66448)"
387,0.001778969656010626,0.001212121212121109,"(82243, 9360)"
291,0.0010300852946567574,0.001212121212121109,"(64406, 74778)"
354,0.0011074013140359718,0.001212121212121109,"(97742, 76020)"
353,0.0008748537459780104,0.001212121212121109,"(56060, 68292)"
342,-0.0010629872587399891,0.001212121212121109,"(68644, 20020)"
93,0.007052895315414837,0.001212121212121109,"(83643, 82570)"
56,0.001993112217076015,0.001212121212121109,"(42784, 11703)"
218,0.004135501735695268,0.001212121212121109,"(96015, 71606)"
301,0.00048645485750337114,0.001212121212121109,"(86305, 88125)"
236,-0.000681687124135244,0.001212121212121109,"(35579, 25266)"
391,0.006808319020665365,0.001212121212121109,"(14284, 68421)"
210,-0.00019905643321807553,0.001212121212121109,"(40361, 89321)"
292,0.0012317153499045164,0.001212121212121109,"(74698, 21539)"
272,0.004107627385385143,0.001212121212121109,"(86202, 85627)"
389,-0.0004844681649685545,0.001212121212121109,"(18648, 37667)"
179,0.004569699041491682,0.001212121212121109,"(78782, 55992)"
334,3.9737846347226435e-05,0.001212121212121109,"(77219, 68092)"
282,0.00028059344933628605,0.001212121212121109,"(43816, 43873)"
63,0.006464461793470516,0.001212121212121109,"(50196, 24661)"
384,0.00013469624455098028,0.001212121212121109,"(67189, 44235)"
205,0.01781200875537678,0.001212121212121109,"(18442, 61569)"
286,-3.161391845796224e-05,0.001212121212121109,"(64392, 3495)"
215,0.0005995803908369624,0.001212121212121109,"(494, 19854)"
272,-9.755559526150592e-05,0.001212121212121109,"(87896, 59037)"
354,0.0053750874381793545,0.001212121212121109,"(53646, 79665)"
154,0.001954943507976259,0.001212121212121109,"(65616, 77457)"
34,-0.00013457996986634968,0.001212121212121109,"(12355, 68913)"
194,-9.125895128123118e-05,0.001212121212121109,"(64072, 63316)"
